TimeSeries ID,telemetry-explorer-0-0,telemetry-explorer-0-1,telemetry-explorer-0-2,telemetry-explorer-0-3
metric.state,active,idle,active,idle
resource.project_id,compute-241322,compute-241322,compute-241322,compute-241322
resource.service_name,pyaes-serving-model-test-1,pyaes-serving-model-test-1,pyaes-serving-model-test-1,pyaes-serving-model-test-1
resource.revision_name,pyaes-serving-model-test-1-00005-qjn,pyaes-serving-model-test-1-00005-qjn,pyaes-serving-model-test-1-00004-2gb,pyaes-serving-model-test-1-00004-2gb
resource.location,northamerica-northeast2,northamerica-northeast2,northamerica-northeast2,northamerica-northeast2
resource.configuration_name,pyaes-serving-model-test-1,pyaes-serving-model-test-1,pyaes-serving-model-test-1,pyaes-serving-model-test-1
resource.project_id,compute-241322,compute-241322,compute-241322,compute-241322
resource.service_name,pyaes-serving-model-test-1,pyaes-serving-model-test-1,pyaes-serving-model-test-1,pyaes-serving-model-test-1
resource.revision_name,pyaes-serving-model-test-1-00005-qjn,pyaes-serving-model-test-1-00005-qjn,pyaes-serving-model-test-1-00004-2gb,pyaes-serving-model-test-1-00004-2gb
resource.location,northamerica-northeast2,northamerica-northeast2,northamerica-northeast2,northamerica-northeast2
resource.configuration_name,pyaes-serving-model-test-1,pyaes-serving-model-test-1,pyaes-serving-model-test-1,pyaes-serving-model-test-1
metric.state,active,idle,active,idle
Mon May 12 2025 16:41:00 GMT-0700 (Pacific Daylight Time),1,0,0,1
Mon May 12 2025 16:41:10 GMT-0700 (Pacific Daylight Time),1,0,0,1
Mon May 12 2025 16:41:20 GMT-0700 (Pacific Daylight Time),1,0,0,1
Mon May 12 2025 16:41:30 GMT-0700 (Pacific Daylight Time),1,0,0,1
Mon May 12 2025 16:41:40 GMT-0700 (Pacific Daylight Time),1,0,0,1
Mon May 12 2025 16:41:50 GMT-0700 (Pacific Daylight Time),1,0,0,1
Mon May 12 2025 16:42:00 GMT-0700 (Pacific Daylight Time),3,0,0,0
Mon May 12 2025 16:42:10 GMT-0700 (Pacific Daylight Time),3,0,0,0
Mon May 12 2025 16:42:20 GMT-0700 (Pacific Daylight Time),3,0,0,0
